2023-04-27 09:13:30,131 - backend - INFO - ShortStranglesOptionsStrategy initiated
2023-04-27 09:13:30,214 - backend.strategy.strategy_manager - INFO - add ESM1 FUT GLOBEX
2023-04-27 09:13:30,215 - backend.strategy.strategy_manager - INFO - add ESM3 FUT CME
2023-04-27 09:13:30,216 - backend.strategy.strategy_manager - INFO - add SPY STK SMART
2023-04-27 09:13:33,716 - backend.brokerage.ib_brokerage - ERROR - Error. id: -1, Code: 502, Msg: Couldn't connect to TWS. Confirm that "Enable ActiveX and Socket EClients" 
is enabled and connection port is the same as "Socket Port" on the 
TWS "Edit->Global Configuration...->API->Settings" menu. Live Trading ports: 
TWS: 7496; IB Gateway: 4001. Simulated Trading ports for new installations 
of version 954.1 or newer:  TWS: 7497; IB Gateway: 4002
2023-04-27 20:33:11,867 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FutureOptionValue, Value: 0.00,  Currency: BASE, AccountName: DU6339390
2023-04-27 20:33:11,868 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FutureOptionValue, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,869 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FuturesPNL, Value: 0.00,  Currency: BASE, AccountName: DU6339390
2023-04-27 20:33:11,870 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FuturesPNL, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,870 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FxCashBalance, Value: 0.00,  Currency: BASE, AccountName: DU6339390
2023-04-27 20:33:11,871 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FxCashBalance, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,875 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: GrossPositionValue, Value: 265.31,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,876 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: GrossPositionValue-S, Value: 265.31,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,877 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: Guarantee, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,878 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: Guarantee-C, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,878 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: Guarantee-S, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,879 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: IndianStockHaircut, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,879 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: IndianStockHaircut-C, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,880 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: IndianStockHaircut-S, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,880 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: InitMarginReq, Value: 5816.91,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,881 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: InitMarginReq-C, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,882 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: InitMarginReq-S, Value: 5816.91,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,882 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: IssuerOptionValue, Value: 0.00,  Currency: BASE, AccountName: DU6339390
2023-04-27 20:33:11,882 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: IssuerOptionValue, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,883 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: Leverage-S, Value: 0.00,  Currency: , AccountName: DU6339390
2023-04-27 20:33:11,885 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: LookAheadAvailableFunds, Value: 1006745.51,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,886 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: LookAheadAvailableFunds-C, Value: 58332.13,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,886 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: LookAheadAvailableFunds-S, Value: 948413.38,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,887 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: LookAheadExcessLiquidity, Value: 1006745.51,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,887 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: LookAheadExcessLiquidity-C, Value: 58332.13,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,888 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: LookAheadExcessLiquidity-S, Value: 948413.38,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,888 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: LookAheadInitMarginReq, Value: 5816.91,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,888 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: LookAheadInitMarginReq-C, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,889 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: LookAheadInitMarginReq-S, Value: 5816.91,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,889 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: LookAheadMaintMarginReq, Value: 5816.91,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,890 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: LookAheadMaintMarginReq-C, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,890 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: LookAheadMaintMarginReq-S, Value: 5816.91,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,891 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: LookAheadNextChange, Value: 0,  Currency: , AccountName: DU6339390
2023-04-27 20:33:11,891 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: MaintMarginReq, Value: 5816.91,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,892 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: MaintMarginReq-C, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,893 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: MaintMarginReq-S, Value: 5816.91,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,893 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: MoneyMarketFundValue, Value: 0.00,  Currency: BASE, AccountName: DU6339390
2023-04-27 20:33:11,894 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: MoneyMarketFundValue, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,896 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: MutualFundValue, Value: 0.00,  Currency: BASE, AccountName: DU6339390
2023-04-27 20:33:11,897 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: MutualFundValue, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,897 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: NLVAndMarginInReview, Value: false,  Currency: , AccountName: DU6339390
2023-04-27 20:33:11,897 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: NetDividend, Value: 0.00,  Currency: BASE, AccountName: DU6339390
2023-04-27 20:33:11,898 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: NetDividend, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,898 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: NetLiquidation, Value: 1015272.66,  Currency: USD, AccountName: DU6339390
2023-04-27 20:33:11,898 - backend_ib_api.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: NetLiquidation-C, Value: 58332.13,  Currency: USD, AccountName: DU6339390
