2023-04-21 15:21:03,922 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: ExchangeRate, Value: 1.00,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,922 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullAvailableFunds, Value: 1014604.06,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,922 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullAvailableFunds-C, Value: 58353.43,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,923 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullAvailableFunds-S, Value: 956250.63,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,923 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullExcessLiquidity, Value: 1014604.06,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,923 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullExcessLiquidity-C, Value: 58353.43,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,924 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullExcessLiquidity-S, Value: 956250.63,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,924 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullInitMarginReq, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,925 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullInitMarginReq-C, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,925 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullInitMarginReq-S, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,926 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullMaintMarginReq, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,926 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullMaintMarginReq-C, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,927 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FullMaintMarginReq-S, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,929 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FundValue, Value: 0.00,  Currency: BASE, AccountName: DU6339390
2023-04-21 15:21:03,930 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FundValue, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,930 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FutureOptionValue, Value: 0.00,  Currency: BASE, AccountName: DU6339390
2023-04-21 15:21:03,931 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FutureOptionValue, Value: 0.00,  Currency: USD, AccountName: DU6339390
2023-04-21 15:21:03,931 - quanttrader.brokerage.ib_brokerage - INFO - UpdateAccountValue. Key: FuturesPNL, Value: 0.00,  Currency: BASE, AccountName: DU6339390
